epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,816.95,0.40356,0.69667,0.24846,0.90184,0.99925,1,0.995,0.89565,0.99344,0.99419,0.993,0.72857,0.50949,1.11762,0.24551,0.9148,0.000313729,0.000313729,0.000313729
84,826.491,0.40684,0.7109,0.24857,0.89639,0.99903,1,0.995,0.89872,0.98742,0.98837,0.98722,0.73106,0.50312,1.18245,0.24095,0.91823,0.000297226,0.000297226,0.000297226
85,836.025,0.40655,0.70121,0.25057,0.89637,0.99924,1,0.995,0.89494,0.98762,0.98837,0.98676,0.73598,0.50149,1.1429,0.24284,0.91293,0.000280723,0.000280723,0.000280723
86,845.543,0.41304,0.72348,0.25246,0.90207,0.99928,1,0.995,0.89763,0.99348,0.99419,0.99356,0.73246,0.50607,1.11379,0.2461,0.91288,0.00026422,0.00026422,0.00026422
87,855.084,0.39836,0.69756,0.24524,0.88872,0.99936,1,0.995,0.90035,0.98774,0.98837,0.98693,0.7313,0.50614,1.12771,0.2428,0.9134,0.000247716,0.000247716,0.000247716
88,864.656,0.40382,0.71391,0.24505,0.90321,0.9992,1,0.995,0.90737,0.99339,0.99419,0.99361,0.73566,0.50158,1.14757,0.23849,0.9163,0.000231213,0.000231213,0.000231213
89,874.176,0.40095,0.69177,0.24459,0.89388,0.99927,1,0.995,0.8943,0.99346,0.99419,0.9933,0.73501,0.49743,1.1626,0.23381,0.9145,0.00021471,0.00021471,0.00021471
90,883.756,0.40057,0.69018,0.24891,0.89444,0.99937,1,0.995,0.90026,0.98775,0.98837,0.98606,0.73309,0.49972,1.17224,0.23838,0.91459,0.000198206,0.000198206,0.000198206
91,911.273,0.36585,0.61877,0.24434,0.87346,0.99934,1,0.995,0.88329,0.98772,0.98837,0.98443,0.72536,0.51485,1.20575,0.24377,0.92253,0.000181703,0.000181703,0.000181703
92,920.739,0.3604,0.60807,0.23531,0.86675,0.99931,1,0.995,0.8956,0.98767,0.98837,0.98345,0.7178,0.49917,1.21807,0.23667,0.91553,0.0001652,0.0001652,0.0001652
93,930.466,0.34566,0.58946,0.227,0.85517,0.99921,1,0.995,0.89529,0.99341,0.99419,0.99244,0.73049,0.49246,1.18013,0.22969,0.91176,0.000148696,0.000148696,0.000148696
94,940.988,0.3265,0.55942,0.21475,0.84071,0.99927,1,0.995,0.90078,0.99347,0.99419,0.99259,0.72914,0.4933,1.17101,0.23958,0.91571,0.000132193,0.000132193,0.000132193
95,950.936,0.31686,0.56963,0.21172,0.8468,0.99933,1,0.995,0.8926,0.99352,0.99419,0.9927,0.73179,0.50857,1.19705,0.23865,0.92411,0.00011569,0.00011569,0.00011569
96,961.081,0.31267,0.55714,0.20829,0.84622,0.99935,1,0.995,0.89993,0.98773,0.98837,0.98717,0.74175,0.49359,1.23364,0.23541,0.90999,9.91865e-05,9.91865e-05,9.91865e-05
97,970.905,0.31453,0.56456,0.20663,0.84099,0.99933,1,0.995,0.89847,0.9877,0.98837,0.98745,0.7351,0.49742,1.24769,0.23641,0.90947,8.26832e-05,8.26832e-05,8.26832e-05
98,980.724,0.31538,0.54575,0.20693,0.84861,0.99935,1,0.995,0.90419,0.98773,0.98837,0.98789,0.73704,0.49337,1.26529,0.23326,0.90783,6.61799e-05,6.61799e-05,6.61799e-05
99,990.663,0.30832,0.55166,0.20549,0.84426,0.99937,1,0.995,0.90266,0.98775,0.98837,0.98736,0.74038,0.49343,1.27588,0.23017,0.90829,4.96766e-05,4.96766e-05,4.96766e-05
100,1000.76,0.29207,0.54086,0.20003,0.83847,0.99936,1,0.995,0.90266,0.98774,0.98837,0.98747,0.7403,0.49368,1.28122,0.23178,0.9076,3.31733e-05,3.31733e-05,3.31733e-05
